Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range
2023;113;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;30
2017;113;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;81
2020;113;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;153
2015;113;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;72
2023;113;IX;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2015;113;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;81
2018;113;740E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2018;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2019;113;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;153
2023;113;I4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2020;113;X3;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2017;113;I8;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2021;113;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;30
2023;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2017;113;X5;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2021;113;I3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2018;113;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2018;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2022;113;IX;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;113;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;20
2021;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2018;113;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;114
2024;113;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;39
2019;113;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;126
2020;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2022;113;I4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;113;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;126
2022;113;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2024;113;IX;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2020;113;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;126
2021;113;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;153
2017;113;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2014;113;I8;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2016;113;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2019;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;15
2019;113;740E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2019;113;I8;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2015;113;I8;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2021;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2021;113;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2020;113;745E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2016;113;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;81
2022;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
