Census_Id;Id_county;Name_City
53033022805;1;Bellevue
53061052122;4;Snohomish
53061052107;4;Bothell
53061051916;4;Bothell
53061051802;4;Lynnwood
53011040713;15;Vancouver
53029971800;5;Langley
53077001602;2;Yakima
53017950200;16;Waterville
53061051938;4;Bothell
53067012226;3;Lacey
53061940001;4;Marysville
53061051932;4;Lynnwood
53061052107;4;Woodinville
53033001800;1;Seattle
53033004703;1;Seattle
53033022604;1;Kirkland
53061052904;4;Marysville
53033007700;1;Seattle
53035092600;6;Port Orchard
53033020800;1;Shoreline
53011040201;15;La Center
53033001600;1;Seattle
53053072106;17;Lakewood
53033028200;1;Tukwila
53033023100;1;Bellevue
53033024905;1;Bellevue
53033023601;1;Bellevue
53033007501;1;Seattle
53033021906;1;Woodinville
53011040713;15;Vancouver
53033021802;1;Woodinville
53011040715;15;Brush Prairie
53033005000;1;Seattle
53033029406;1;Kent
53033021802;1;Woodinville
53033032220;1;Issaquah
53067010300;3;Olympia
53031950604;18;Port Townsend
53033007002;1;Seattle
53033020500;1;Shoreline
53033002000;1;Seattle
53011041313;15;Vancouver
53033003302;1;Seattle
53033021905;1;Bothell
53033032705;1;North Bend
53033022300;1;Kirkland
53011040907;15;Vancouver
53033022603;1;Kirkland
53033022401;1;Kirkland
53033006300;1;Seattle
53067012730;3;Rochester
53033024901;1;Bellevue
53033022701;1;Kirkland
53033032321;1;Redmond
53033022402;1;Kirkland
53033006600;1;Seattle
53033028200;1;Tukwila
53033023807;1;Bellevue
53033009600;1;Seattle
53033022702;1;Kirkland
53033032321;1;Redmond
53067012720;3;Rochester
53035090700;6;Bainbridge Island
53033007503;1;Seattle
53011040811;15;Vancouver
53033022603;1;Kirkland
53033001300;1;Seattle
53033021701;1;Kenmore
53035090902;6;Bainbridge Island
53033000602;1;Seattle
53033006000;1;Seattle
53033024704;1;Renton
53033032221;1;Issaquah
53035091600;6;Bremerton
53033028600;1;Normandy Park
53061052808;4;Marysville
53011040604;15;Vancouver
53011040907;15;Vancouver
53033006500;1;Seattle
53033021903;1;Kirkland
53033027600;1;Burien
53011040910;15;Vancouver
53033025202;1;Renton
53033025007;1;Bellevue
53011040714;15;Vancouver
53033032323;1;Redmond
53015001503;19;Woodland
53033008800;1;Seattle
53033022003;1;Kirkland
53033029305;1;Kent
53061052607;4;Lake Stevens
53033022501;1;Kirkland
53033023000;1;Bellevue
53033021100;1;Shoreline
53011040604;15;Vancouver
53035092803;6;Olalla
53033007800;1;Seattle
53033022300;1;Kirkland
53033028200;1;Tukwila
53011040714;15;Vancouver
